,E2-1,E2-2,E2-3,E2-4,E2-5,E3-2,E3-3,E3-4,E3-5,E4-1,E4-2,E4-3,E4-4,E4-5,KO-1,KO-2,KO-3,KO-4,KO-5
1,39,35,45,45,36,53,16,32,21,44,31,51,24,23,42,41,41,44,26
10,1,2,0,0,0,2,1,1,0,1,1,0,0,2,1,0,0,1,0
100,64,83,90,65,83,72,48,66,39,101,70,109,32,97,162,142,100,118,65
1000,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
10000,963,856,781,891,716,687,578,792,595,972,754,1196,476,685,620,678,710,917,648
100008586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100009613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100009667,14,14,20,15,20,5,15,27,19,21,29,39,18,25,38,22,33,23,21
100009676,212,158,182,191,135,243,144,215,131,180,159,203,136,162,202,203,173,206,189
10001,269,303,253,227,209,310,257,332,198,383,300,411,212,301,311,411,225,400,215
10002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003,16,14,14,10,10,11,7,8,9,19,15,21,8,24,15,14,11,19,2
100033407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033417,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
100033418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100033426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
