GeneSymbol,log2FoldChange,pvalue,padj
TSPAN6,-0.28,0.069952,0.730425
TNMD,,,
DPM1,0.08,0.591355,1.000000
SCYL3,-0.01,0.941009,1.000000
C1orf112,-0.10,0.307020,1.000000
FGR,0.78,0.000000,0.000000
CFH,-0.62,0.906089,1.000000
FUCA2,0.05,0.292836,1.000000
GCLC,0.17,0.016080,0.276817
NFYA,-0.12,0.095549,0.859921
STPG1,-0.24,0.096760,0.865417
NIPAL3,-0.27,0.001748,0.049210
LAS1L,-0.15,0.014230,0.253094
ENPP4,0.01,0.971218,1.000000
SEMA3F,-0.20,0.146414,1.000000
CFTR,,,
ANKIB1,0.02,0.842941,1.000000
CYP51A1,0.02,0.909624,1.000000
KRIT1,0.01,0.881046,1.000000
RAD52,0.06,0.620723,1.000000
MYH16,-0.07,0.955687,1.000000
BAD,-0.06,0.708143,1.000000
LAP3,0.22,0.000768,0.025143
CD99,,,
CD99,0.00,1.000000,1.000000
HS3ST1,,,
AOC1,0.74,0.000000,0.000000
WNT16,-1.40,0.480655,1.000000
HECW1,-0.09,0.687035,1.000000
MAD1L1,-0.25,0.297411,1.000000
LASP1,0.14,0.004768,0.109775
SNX11,0.05,0.526440,1.000000
TMEM176A,1.15,0.000000,0.000000
M6PR,0.09,0.219857,1.000000
KLHL13,-0.65,0.000000,0.000003
CYP26B1,1.39,0.000000,0.000000
ICA1,-0.09,0.339890,1.000000
DBNDD1,0.03,0.764063,1.000000
ALS2,-0.04,0.482738,1.000000
CASP10,0.02,0.826660,1.000000
CFLAR,0.22,0.007529,0.157848
TFPI,0.82,0.889736,1.000000
NDUFAF7,0.12,0.242113,1.000000
RBM5,-0.02,0.723710,1.000000
MTMR7,0.50,0.006881,0.146458
SLC7A2,1.11,0.000000,0.000000
ARF5,-0.01,0.919675,1.000000
SARM1,0.28,0.255933,1.000000
POLDIP2,0.00,0.994987,1.000000
PLXND1,0.02,0.702813,1.000000
AK2,0.10,0.102877,0.890401
CD38,1.69,0.000000,0.000000
FKBP4,0.02,0.871524,1.000000
KDM1A,-0.04,0.497765,1.000000
RBM6,0.02,0.806374,1.000000
CAMKK1,0.12,0.623737,1.000000
RECQL,0.16,0.105744,0.905189
VPS50,0.13,0.287207,1.000000
HSPB6,-0.73,0.491099,1.000000
ARHGAP33,0.10,0.711998,1.000000
NDUFAB1,0.18,0.059124,0.669119
PDK4,-0.76,0.286347,1.000000
SLC22A16,-0.17,0.008883,0.178941
ZMYND10,0.05,0.912901,1.000000
ABCB5,0.00,1.000000,1.000000
ARX,-0.13,0.474124,1.000000
SLC25A13,-0.05,0.509232,1.000000
ST7,0.02,0.846233,1.000000
CDC27,0.02,0.681991,1.000000
SLC4A1,1.37,0.818300,1.000000
CALCR,,,
HCCS,0.20,0.045980,0.575952
DVL2,-0.03,0.678611,1.000000
PRSS22,,,
UPF1,0.05,0.528768,1.000000
SKAP2,-0.10,0.121374,0.959828
SLC25A5,0.27,0.000001,0.000087
MCUB,-0.24,0.659787,1.000000
HOXA11,-0.22,0.013914,0.249000
POLR2J,-0.01,0.952500,1.000000
DHX33,0.00,0.991502,1.000000
MEOX1,,,
THSD7A,-0.24,0.008500,0.172929
LIG3,-0.04,0.545265,1.000000
RPAP3,0.05,0.633328,1.000000
ACSM3,0.30,0.425743,1.000000
AC004381.6,-0.54,0.000000,0.000001
CIAPIN1,0.14,0.041084,0.535917
SPPL2B,0.03,0.747432,1.000000
FAM214B,0.42,0.000153,0.006137
COPZ2,-0.27,0.256041,1.000000
PRKAR2B,0.17,0.087279,0.819671
MSL3,0.35,0.000000,0.000020
CREBBP,0.11,0.338884,1.000000
TSPOAP1,-0.22,0.337786,1.000000
MPO,-0.05,0.495488,1.000000
PON1,,,
GCFC2,-0.01,0.888356,1.000000
WDR54,-0.03,0.846718,1.000000
CROT,0.01,0.974419,1.000000
ABCB4,3.98,0.000000,0.000000
KMT2E,0.00,0.968613,1.000000
RHBDD2,0.20,0.063384,0.694103
SOX8,,,
IBTK,0.25,0.000062,0.002738
ZNF195,0.11,0.290879,1.000000
MYCBP2,-0.04,0.673556,1.000000
FBXL3,-0.02,0.775032,1.000000
ITGAL,0.72,0.000000,0.000000
PDK2,-0.05,0.652846,1.000000
ITGA3,0.85,0.250252,1.000000
ZFX,0.11,0.195808,1.000000
LAMP2,-0.09,0.051108,0.611798
ITGA2B,0.41,0.266999,1.000000
ASB4,0.00,1.000000,1.000000
GDE1,0.08,0.157623,1.000000
C19orf60,-0.05,0.678834,1.000000
CRLF1,0.04,0.947350,1.000000
OSBPL7,0.12,0.439677,1.000000
TMEM98,0.82,0.889736,1.000000
YBX2,0.95,0.122740,0.965252
KRT33A,0.00,1.000000,1.000000
MAP3K14,-0.13,0.658639,1.000000
ABCC8,-0.62,0.917250,1.000000
CACNG3,,,
TMEM132A,0.57,0.494058,1.000000
AP2B1,-0.06,0.244044,1.000000
TAC1,0.00,1.000000,1.000000
ZNF263,0.12,0.062314,0.687602
CX3CL1,,,
SPATA20,-0.06,0.629610,1.000000
CACNA1G,-0.56,0.838036,1.000000
TNFRSF12A,-0.55,0.018482,0.308268
DLX6,0.00,1.000000,1.000000
MAP3K9,0.04,0.796616,1.000000
RALA,0.33,0.000000,0.000003
BAIAP2L1,-0.68,0.232642,1.000000
KDM7A,0.07,0.761809,1.000000
ETV1,-0.36,0.013667,0.245640
AGK,-0.19,0.017908,0.300736
ALDH3B1,-0.11,0.117617,0.948215
TTC22,,,
PHTF2,-0.06,0.475000,1.000000
CCL26,0.00,1.000000,1.000000
FARP2,0.11,0.289110,1.000000
USH1C,0.00,1.000000,1.000000
GGCT,0.09,0.262850,1.000000
DBF4,0.05,0.420418,1.000000
TBXA2R,0.75,0.000000,0.000000
IFRD1,0.29,0.133560,1.000000
LGALS14,-0.62,0.917250,1.000000
COX10,0.23,0.005796,0.128240
GTF2IRD1,0.10,0.388618,1.000000
PAF1,0.01,0.897030,1.000000
VPS41,0.06,0.340607,1.000000
ARHGAP44,0.01,0.962343,1.000000
ELAC2,0.08,0.253065,1.000000
SCIN,0.04,0.836431,1.000000
ARSD,-0.05,0.329187,1.000000
PNPLA4,0.00,0.988714,1.000000
MYH13,0.72,0.848665,1.000000
ADIPOR2,-0.04,0.332271,1.000000
CDKL3,0.03,0.933524,1.000000
UPP2,0.07,0.990244,1.000000
PRSS21,,,
MARK4,0.08,0.206695,1.000000
PROM1,-0.62,0.917250,1.000000
CCDC124,0.01,0.916088,1.000000
CEACAM21,0.02,0.946088,1.000000
PAFAH1B1,-0.05,0.437374,1.000000
NOS2,-0.57,0.729829,1.000000
DNAH9,0.00,1.000000,1.000000
KIAA0100,0.04,0.594589,1.000000
SLC13A2,,,
GAS7,1.07,0.000000,0.000000
TRAPPC6A,-0.01,0.932795,1.000000
MATK,0.22,0.161807,1.000000
CEACAM7,,,
CD79B,1.20,0.000726,0.024025
SCN4A,0.12,0.823281,1.000000
ST7L,-0.09,0.396227,1.000000
TKTL1,-0.47,0.000237,0.009018
PAX6,0.62,0.509457,1.000000
RPUSD1,0.05,0.639757,1.000000
RHBDF1,-0.42,0.001016,0.031626
LUC7L,0.15,0.058467,0.665091
CACNA2D2,0.02,0.973182,1.000000
BAIAP3,-0.26,0.549174,1.000000
TSR3,-0.04,0.689564,1.000000
PIGQ,-0.19,0.048892,0.596381
CRAMP1,-0.02,0.782958,1.000000
TEAD3,-0.51,0.000000,0.000000
SELE,,,
DNAJC11,0.36,0.000020,0.000999
FMO3,0.00,1.000000,1.000000
MYLIP,-0.05,0.492260,1.000000
NOX1,0.14,0.695595,1.000000
E2F2,0.00,0.975134,1.000000
PSMB1,0.04,0.689033,1.000000
SYN1,0.82,0.714861,1.000000
JARID2,-0.23,0.000360,0.013051
CDKL5,0.37,0.054254,0.633889
CAMK1G,0.00,1.000000,1.000000
CDK11A,0.04,0.856968,1.000000
NADK,0.25,0.000004,0.000221
TFAP2B,,,
TFAP2D,,,
DLEC1,0.10,0.912037,1.000000
CYTH3,-0.11,0.082519,0.796290
ADAM22,0.12,0.490346,1.000000
SYPL1,-0.08,0.142023,1.000000
CYB561,-0.55,0.000082,0.003535
SPAG9,0.05,0.585591,1.000000
CELSR3,0.15,0.228073,1.000000
AASS,-0.06,0.987291,1.000000
PLEKHG6,1.53,0.389738,1.000000
SS18L2,0.04,0.773173,1.000000
MPND,0.01,0.959778,1.000000
MGST1,-0.17,0.102034,0.887607
CRY1,-0.01,0.881034,1.000000
PGLYRP1,-0.35,0.828921,1.000000
NFIX,-0.10,0.139646,1.000000
ST3GAL1,0.68,0.000000,0.000000
MMP25,0.02,0.874949,1.000000
